"Time (s)","X (hPa)"
6.270097547E2,1.026403351E3
6.279688767E2,1.026371460E3
6.289279477E2,1.026340637E3
6.298870947E2,1.026314240E3
6.308466407E2,1.026290741E3
6.318058647E2,1.026274261E3
6.327650207E2,1.026265106E3
6.337240987E2,1.026254959E3
6.346832707E2,1.026243820E3
6.356424027E2,1.026232986E3
6.366018647E2,1.026216049E3
6.375612267E2,1.026189880E3
6.385205997E2,1.026161652E3
6.394799717E2,1.025878448E3
6.404393997E2,1.025116119E3
6.413987117E2,1.024765854E3
6.423580127E2,1.024057693E3
6.433173017E2,1.024057693E3
6.442766517E2,1.024241409E3
6.452360537E2,1.025142059E3
6.461953727E2,1.027144089E3
6.471547217E2,1.032411728E3
6.481140917E2,1.036880646E3
6.490735277E2,1.039842682E3
6.500328947E2,1.043407669E3
6.509923797E2,1.045971069E3
6.519519057E2,1.046210022E3
6.529112757E2,1.046428070E3
6.538707777E2,1.047943954E3
6.548303587E2,1.048998642E3
6.557901017E2,1.048998642E3
6.567499077E2,1.048960114E3
6.577096657E2,1.048531570E3
6.586693317E2,1.048377151E3
6.596286357E2,1.048377151E3
6.605879367E2,1.048605347E3
6.615471157E2,1.049227600E3
6.625063347E2,1.050195160E3
6.634654427E2,1.051106262E3
6.644245537E2,1.052356491E3
6.653837167E2,1.054178543E3
6.663429917E2,1.054416275E3
6.673023117E2,1.054416275E3
6.682615897E2,1.054416275E3
6.692208197E2,1.054826431E3
6.701801037E2,1.055613480E3
6.711394477E2,1.055916519E3
6.720987177E2,1.056625443E3
6.730579447E2,1.057635574E3
6.740171397E2,1.057812729E3
6.749764327E2,1.057965698E3
6.759356217E2,1.058079605E3
6.768947697E2,1.058322906E3
6.778540867E2,1.058418274E3
6.788133377E2,1.058322906E3
6.797726437E2,1.057552185E3
6.807320627E2,1.057230835E3
6.816913437E2,1.057137680E3
6.826508927E2,1.057053986E3
6.836106217E2,1.057053986E3
6.845704977E2,1.056672058E3
6.855303367E2,1.056423798E3
6.864900887E2,1.056193542E3
6.874497847E2,1.056125336E3
6.884096707E2,1.056047897E3
